Ciudad,Bodega,Código,Nombre,Cantidad,P.Ult.Comp,Costo Lista,Tipo,Línea
LS - Barrio Industrial   ,B14,2221502                        ,CORCHETERA TORRE B-7 NEGRA,20,7865,7865,STOCK,LIBRERÍA                                
LS - Barrio Industrial   ,B14,2221514                        ,CARPETA BUHO CON ELASTICO VERDE CLARO,8,680,680,STOCK,LIBRERÍA                                
LS - Barrio Industrial   ,B14,2221579                        ,CORCHETE TORRE DEPETRUS 530-8 5000UN,10,1929,2675,F MAESTRA,LIBRERÍA                                
LS - Barrio Industrial   ,B14,2223008                        ,C.COLLEGE TORRE LISO CAL/HORIZONTAL 100HJ,47,750,750,STOCK,LIBRERÍA                                
LS - Barrio Industrial   ,B14,2223163                        ,LENTEJUELAS TORRE FORMAS Y COLORES SURTIDOS,5,1168,735,SOLO SALA,LIBRERÍA                                
LS - Barrio Industrial   ,B14,2224660                        ,LIBRO ASISTENCIA TORRE  50HJS AT-500,1,2925,2925,SOLO SALA,LIBRERÍA                                
LS - Barrio Industrial   ,B14,2225587                        ,CAJA ARCHIVO COLON STANDARD,408,920,920,STOCK,LIBRERÍA                                
LS - Barrio Industrial   ,B14,3002567                        ,AGUJA LANA ADIX 3UN BLISTER,16,283,193,F MAESTRA,LIBRERÍA                                
LS - Barrio Industrial   ,B14,3003649                        ,LA.BO.PILOT BPS 0.7 AZUL,7,648,648,STOCK,LIBRERÍA                                
LS - Barrio Industrial   ,B14,3003880                        ,LA.ROLLER PILOT HI-TECPOINT V7 NEGRO,14,1435.6666,1436,STOCK,LIBRERÍA                                
LS - Barrio Industrial   ,B14,3003882                        ,LA.ROLLER PILOT HI-TECPOINT V7 AZUL,18,1435.6666,1436,STOCK,LIBRERÍA                                
LS - Barrio Industrial   ,B14,3003883                        ,LA.ROLLER PILOT HI-TECPOINT V7 ROJO,19,1209,1436,STOCK,LIBRERÍA                                
P. Arenas                ,B1  ,7276342                        ,ESCOBILLON VIRUTEX TRADICIONAL ECONOMICO,6,1409,1465,BLOQUEO-L,ASEO                                    
P. Arenas                ,B1  ,7276513                        ,CASCO EVO 3 ARNES CINTA AZUL,18,1350,1690,DE SALIDA,FERRETERÍA                              
P. Arenas                ,B1  ,7290258                        ,CINTA AISLADORA SELLOCINTA ROJO 18MMX10MT,10,241,257,DE SALIDA,FERRETERÍA                              
P. Arenas                ,B1  ,7290283                        ,"BROCHA CONDOR PROFESIONAL 1/2"" 41MM",5,486,617,DE SALIDA,FERRETERÍA                              
P. Arenas                ,B1  ,7770229                        ,PUSH PINS ISOFIT 100UN COLOR SURTIDO,20,742,742,STOCK,LIBRERÍA                                
P. Arenas                ,B1  ,7770391                        ,CARTON MICROCORRUGADO 50X70 ROJO,8,285,429,SOLO SALA,LIBRERÍA                                
P. Arenas                ,B1  ,7770578                        ,TINTA TRODAT P/TAMPON 7011 ROJO 28ML,51,2038,2038,STOCK,LIBRERÍA                                
P. Arenas                ,B1  ,7770739                        ,DESTACADOR ISOFIT TB NARANJO,8,393,393,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,7771160                        ,GOMA BORRAR PROARTE SOFT 20 BLISTER,96,533,533,STOCK     ,LIBRERÍA                                
P. Arenas                ,B1  ,7771207                        ,PAPEL CREPE PROARTE 50X200CM ORO,2,247,321,SOLO SALA,LIBRERÍA                                
P. Arenas                ,B1  ,7771983                        ,CARP PROARTE CARTON PIEDRA 6 PLIEGO,1,518,1065,SOLO SALA,LIBRERÍA                                
P. Arenas                ,B1  ,7776152                        ,CORCHETERA ISOFIT CP-40 PLASTICA NEGRA P/25HJ,39,1571,1571,STOCK,LIBRERÍA                                
P. Arenas                ,B1  ,7778547                        ,MARCADOR PROARTE PIZARRA ROJO,11,280,307,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,8256647                        ,CINTA ROTULADORA DYMO 12X4MM PLAST AMARILLA,22,2423,3060,STOCK,LIBRERÍA                                
P. Arenas                ,B1  ,8256661                        ,ARCH WILSON 385 CARTA 2ANILLOX1 NEGRO,11,1085,1584,DESCONTINUADO,LIBRERÍA                                
